Question,Answer
what are the uses for gui?,"GUIs can be used in computers , hand-held devices such as MP3 players, portable media players or gaming devices, household appliances, office, and industry equipment."
what are tires made of?,"The materials of modern pneumatic tires are synthetic rubber , natural rubber , fabric and wire, along with carbon black and other chemical compounds."
what are use taxes?,"A use tax in United States is complementary to sales tax which means, if you buy a Taxable product/services without paying any Sales tax to vendor, you owe use tax."
what are warehouse spreadsheets used for?,"The data stored in the warehouse are uploaded from the operational systems (such as marketing, sales etc., shown in the figure to the right)."
what area code is 217?,Area code 217 is the North American telephone area code for much of western and central Illinois.
what area code is 479?,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively."
what area code is 810?,Area code 810 is the telephone area code serving eastern Michigan.
what area code is 949?,Area code 949 is an area code in California that is contained mostly within South Orange County.
what artist have song with ashanti?,"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe )."
what bacteria grow on macconkey agar?,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation.
what became of rich on price is right?,"Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California."
what bird family is the owl?,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species."
what branch of the military is delta force?,Delta Force was formerly listed as the Combat Applications Group by the Department of Defense but has since been officially re-designated the Army Compartmented Elements (ACE).
what came first army or air force?,"The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF."
what can be powered by wind?,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships."
what can silk be used for?,"Silk is a natural protein fibre , some forms of which can be woven into textiles."
what can sql 2005 do?,"As a database, sql 2005  is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet)."
what cards do you need in poker to get a royal flush?,"These hand rankings are also used in some other card games , and in poker dice."
what cars have smart key systems?,"Smart key systems was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997."
what caused the world war 2?,"The main causes of World War II were nationalistic issues, unresolved issues, and resentments resulting from World War I and the interwar period in Europe, in addition to the effects of the Great Depression in the 1930s."
what caused the world war?,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war."
